Brand,Product Name,Current Price,Original Price,Discount (%),Rating,Reviews,Breadcrumbs,Product URL
Mamaearth,MoistureMatte Raspberry Scarle,226,349,35,4.3,10.7k,Home / Personal Care / Lipstick / Mamaearth,https://www.myntra.com/lipstick/mamaearth/mamaearth-moisture-matte-long-stay-mini-lipstick---07-g---raspberry-scarlet--07/31082015/buy
Lakme,Forever Matte Liquid Lip,306,450,32,4.4,142.3k,Home / Personal Care / Lipstick / Lakme,https://www.myntra.com/lipstick/lakme/lakme-forever-matte-lightweight--transferproof-16h-liquid-lipstick-56ml---brown-espresso/11131108/buy
Soultree,Ayurvedic Lipstick - 4 g,1495,,,,,Home / Personal Care / Lipstick / Soultree,https://www.myntra.com/lipstick/soultree/soultree-ayurvedic-lipstick---4-g---massive-mauve/39467170/buy
Maybelline,Ultimatte More Rust 899,551,599,8,4.4,70.8k,Home / Personal Care / Lipstick / Maybelline,https://www.myntra.com/lipstick/maybelline/maybelline-new-york-color-sensational-ultimatte-lipstick-more-rust-899/15990824/buy
FACES CANADA,Comfy Matte Liquid Lipstick-30,314,449,30,4.3,18.8k,Home / Personal Care / Lipstick / FACES CANADA,https://www.myntra.com/lipstick/faces+canada/faces-canada-comfy-matte-transfer-proof-liquid-lipstick-38ml---lowkey-charm-30/30068580/buy
M.A.C,MACximal Silky Matte Lipstick,2040,2550,20,4.6,827,Home / Personal Care / Lipstick / M.A.C,https://www.myntra.com/lipstick/m.a.c/mac-macximal-silky-matte-lipstick---velvet-teddy/26367320/buy
Pilgrim,Matte Bullet Lipstick - 13,417,595,30,4.3,10.8k,Home / Personal Care / Lipstick / Pilgrim,https://www.myntra.com/lipstick/pilgrim/pilgrim-matte-bullet-intense-colour-transferproof-smudgeproof-lipstick--forbidden-pink-13/30593172/buy
MARS,Set of 3 Matte Lipsticks Box,348,447,22,4.4,29.5k,Home / Personal Care / Lipstick / MARS,https://www.myntra.com/lipstick/mars/mars-set-of-3-matte-lipsticks-box---plums-03/17723158/buy
M.A.C,Macximal Satin Mini Lipstick,920,1150,20,4.6,952,Home / Personal Care / Lipstick / M.A.C,https://www.myntra.com/lipstick/m.a.c/mac-macximal-satin-richly-pigmented-long-lasting-mini-lipstick-15g--brick-o-la/30269318/buy
Renee,4 Pcs Matte Lipstick-Berries,525,599,12,4.2,344,Home / Personal Care / Lipstick / Renee,https://www.myntra.com/lipstick/renee/renee-set-of-4-very-matte-long-lasting-lipstick---16-g---berries/32600441/buy
EOD,2-Pcs Liquid Lipstick - 3ml,182,650,72,,,Home / Personal Care / Lipstick / EOD,https://www.myntra.com/lipstick/eod/eod-set-of-2-transfer-proof-long-lasting-matte-finish-liquid-lipstick---3ml-each---7-12-/40905640/buy
M.A.C,Retro Matte Lipstick- Firewerk,2240,2800,20,4.5,4.2k,Home / Personal Care / Lipstick / M.A.C,https://www.myntra.com/lipstick/m.a.c/mac-retro-matte-lipstick---firewerk-embroidered-opulence-collection/30040188/buy
Fashion Colour,5-in-1 Lipstick Matte - 04,153,225,32,4.2,2.7k,Home / Personal Care / Lipstick / Fashion Colour,https://www.myntra.com/lipstick/fashion+colour/fashion-colour-jersy-girl-5-in-1-waterproof-long-lasting-matte-lipstick---shade-04/18924414/buy
Lakme,Forever Matte Lip Colour,301,450,33,4.4,142.3k,Home / Personal Care / Lipstick / Lakme,https://www.myntra.com/lipstick/lakme/lakme-forever-matte-lightweight--transferproof-16hr-liquid-lipstick-56ml---nude-hue/11757178/buy
LOreal,Infallible Laque Lipstick-635,959,999,4,4.4,945,Home / Personal Care / Lipstick / LOreal,https://www.myntra.com/lipstick/loreal/loreal-paris-infallible-laque-resistance-longwear-liquid-lipstick-4ml--worth-it-medium-635/36086403/buy
SUGAR POP,Ultrastay Lipstick- 07,181,229,21,4.2,445,Home / Personal Care / Lipstick / SUGAR POP,https://www.myntra.com/lipstick/sugar+pop/sugar-pop-ultrastay-transferproof-lipstick-with-vitamin-e-4g---ruby-red-07/30448742/buy
GLAM21,Lip Seduction Crayon Lipstick,255,319,20,4.3,2.1k,Home / Personal Care / Lipstick / GLAM21,https://www.myntra.com/lipstick/glam21/glam21-lip-seduction-non-transfer-creamy-matte-lipstick-36g---coffee-15/21669290/buy
M.A.C,MACximal Matte Lipstick,2040,2550,20,4.6,2.3k,Home / Personal Care / Lipstick / M.A.C,https://www.myntra.com/lipstick/m.a.c/mac-macximal-matte-lipstick---whirl/26367310/buy
Mamaearth,Moisture Matte Candyfloss Pink,226,349,35,4.3,10.7k,Home / Personal Care / Lipstick / Mamaearth,https://www.myntra.com/lipstick/mamaearth/mamaearth-moisture-matte-12-hour-long-stay-mini-lipstick---07-g---03-candyfloss-pink/31082012/buy
